species,family,order,class,phylum,kingdom,decimalLatitude,decimalLongitude,cubanendemic
Laccophilus_gentilis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30899,-74.48225,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.566,-82.552,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.60646,-82.63142,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.99643,-76.92582,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.749827,-77.277611,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.99032,-76.92481,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.81914,-77.579575,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.821779,-77.55913,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.808,-77.524,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.866097,-77.57459,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.856272,-77.56647,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.55709,-76.4727,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.19213,-76.05855,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.109108,-76.143789,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.054694,-76.145062,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.085009,-76.185117,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.991053,-75.503045,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.0126,-75.65796,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.073558,-75.814338,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.376279,-76.041637,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.50372,-74.64988,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31342,-74.47675,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.28228,-74.42923,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.27644,-74.41791,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.28246,-74.40428,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30899,-74.48225,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.32299,-74.4856,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30189,-74.47741,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.07296,-74.67298,n
Laccophilus_proximus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.06071,-74.7379,n
Laccophilus_vacaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.81914,-77.579575,n
Laccophilus_vacaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.821779,-77.55913,n
Laccophilus_vacaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.856272,-77.56647,n
Laccophilus_vacaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.209042,-76.001169,n
Laccophilus_vacaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.055,-76.197,n
Laccophilus_vacaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.054694,-76.145062,n
Laccophilus_vacaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.19213,-76.05855,n
Laccophilus_vacaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.06071,-74.7379,n
